day,traffic,1 part,2 part,3 part,4 part,5 part,6 part
20.06.2026,heavy,heavy,heavy,heavy,moderate,increased,heavy
21.06.2026,moderate,heavy,moderate,heavy,moderate,moderate,moderate
22.06.2026,increased,moderate,moderate,increased,increased,increased,increased
23.06.2026,increased,increased,increased,low,increased,increased,increased
24.06.2026,moderate,moderate,moderate,increased,moderate,moderate,moderate
25.06.2026,moderate,moderate,moderate,moderate,heavy,heavy,heavy
26.06.2026,heavy,heavy,moderate,heavy,heavy,heavy,heavy
27.06.2026,heavy,heavy,heavy,heavy,moderate,increased,moderate
28.06.2026,moderate,heavy,moderate,heavy,moderate,moderate,moderate
29.06.2026,increased,moderate,moderate,increased,increased,increased,increased
30.06.2026,increased,increased,increased,low,increased,increased,increased
01.07.2026,moderate,moderate,moderate,increased,moderate,moderate,heavy
02.07.2026,heavy,heavy,heavy,moderate,heavy,heavy,heavy
03.07.2026,heavy,heavy,heavy,heavy,extreme,extreme,heavy
04.07.2026,heavy,extreme,extreme,heavy,heavy,moderate,heavy
05.07.2026,heavy,heavy,heavy,heavy,heavy,heavy,heavy
06.07.2026,moderate,heavy,heavy,moderate,moderate,moderate,moderate
07.07.2026,moderate,moderate,moderate,increased,moderate,moderate,heavy
08.07.2026,moderate,moderate,moderate,moderate,moderate,heavy,heavy
09.07.2026,heavy,heavy,heavy,moderate,heavy,heavy,heavy
10.07.2026,extreme,heavy,heavy,heavy,extreme,extreme,extreme
11.07.2026,extreme,extreme,extreme,heavy,heavy,moderate,heavy
12.07.2026,heavy,heavy,heavy,extreme,heavy,heavy,heavy
13.07.2026,moderate,heavy,heavy,moderate,moderate,moderate,heavy
14.07.2026,moderate,moderate,moderate,increased,moderate,moderate,heavy
15.07.2026,heavy,heavy,heavy,moderate,heavy,heavy,heavy
16.07.2026,heavy,heavy,heavy,moderate,heavy,extreme,heavy
17.07.2026,extreme,heavy,heavy,heavy,extreme,extreme,extreme
18.07.2026,extreme,extreme,extreme,extreme,heavy,moderate,heavy
19.07.2026,heavy,heavy,heavy,extreme,heavy,heavy,heavy
20.07.2026,heavy,heavy,heavy,moderate,moderate,moderate,heavy
