day,traffic,1 part,2 part,3 part,4 part,5 part,6 part
20.06.2026,heavy,heavy,moderate,heavy,heavy,heavy,heavy
21.06.2026,heavy,heavy,low,extreme,extreme,heavy,heavy
22.06.2026,moderate,heavy,heavy,increased,increased,increased,moderate
23.06.2026,increased,moderate,heavy,increased,increased,increased,moderate
24.06.2026,moderate,moderate,moderate,increased,increased,increased,moderate
25.06.2026,moderate,moderate,moderate,increased,increased,increased,moderate
26.06.2026,moderate,moderate,low,moderate,moderate,moderate,heavy
27.06.2026,heavy,heavy,increased,heavy,moderate,heavy,heavy
28.06.2026,heavy,heavy,low,heavy,heavy,heavy,heavy
29.06.2026,moderate,heavy,heavy,increased,increased,increased,moderate
30.06.2026,increased,moderate,heavy,increased,increased,increased,increased
01.07.2026,moderate,moderate,heavy,increased,increased,increased,increased
02.07.2026,moderate,moderate,moderate,moderate,increased,increased,moderate
03.07.2026,moderate,moderate,increased,moderate,moderate,moderate,heavy
04.07.2026,heavy,heavy,increased,heavy,heavy,heavy,heavy
05.07.2026,heavy,moderate,low,extreme,extreme,heavy,heavy
06.07.2026,moderate,heavy,heavy,increased,increased,increased,moderate
07.07.2026,moderate,moderate,heavy,increased,increased,increased,moderate
08.07.2026,moderate,moderate,heavy,increased,increased,increased,moderate
09.07.2026,moderate,moderate,moderate,moderate,moderate,increased,moderate
10.07.2026,moderate,moderate,increased,moderate,moderate,moderate,heavy
11.07.2026,heavy,heavy,increased,heavy,heavy,heavy,heavy
12.07.2026,heavy,heavy,low,extreme,extreme,heavy,heavy
13.07.2026,moderate,heavy,heavy,moderate,increased,moderate,moderate
14.07.2026,moderate,moderate,heavy,increased,increased,increased,moderate
15.07.2026,moderate,moderate,heavy,increased,increased,moderate,moderate
16.07.2026,moderate,moderate,heavy,moderate,moderate,moderate,moderate
17.07.2026,heavy,heavy,increased,heavy,heavy,moderate,heavy
18.07.2026,heavy,heavy,moderate,heavy,heavy,heavy,heavy
19.07.2026,heavy,heavy,low,extreme,extreme,heavy,heavy
20.07.2026,moderate,heavy,extreme,moderate,moderate,moderate,moderate
21.07.2026,moderate,moderate,heavy,increased,increased,increased,moderate
22.07.2026,moderate,moderate,heavy,moderate,moderate,moderate,moderate
23.07.2026,moderate,heavy,heavy,moderate,moderate,moderate,moderate
24.07.2026,heavy,heavy,moderate,heavy,heavy,heavy,heavy
25.07.2026,heavy,extreme,moderate,heavy,heavy,heavy,heavy
26.07.2026,heavy,heavy,low,extreme,extreme,heavy,heavy
27.07.2026,heavy,heavy,heavy,moderate,moderate,moderate,moderate
28.07.2026,moderate,heavy,heavy,moderate,moderate,moderate,moderate
29.07.2026,moderate,moderate,heavy,moderate,moderate,moderate,moderate
30.07.2026,heavy,heavy,heavy,moderate,moderate,moderate,moderate
31.07.2026,heavy,heavy,moderate,heavy,heavy,heavy,heavy
01.08.2026,extreme,extreme,heavy,heavy,heavy,extreme,extreme
02.08.2026,extreme,extreme,moderate,extreme,extreme,extreme,extreme
03.08.2026,heavy,heavy,heavy,moderate,moderate,heavy,heavy
04.08.2026,heavy,heavy,heavy,moderate,moderate,moderate,heavy
05.08.2026,heavy,heavy,heavy,moderate,moderate,heavy,heavy
