day,traffic,1 part,2 part,3 part,4 part,5 part,6 part
20.06.2026,heavy,extreme,moderate,heavy,moderate,heavy,heavy
21.06.2026,heavy,heavy,low,heavy,heavy,heavy,heavy
22.06.2026,increased,heavy,moderate,low,low,increased,moderate
23.06.2026,low,increased,increased,low,low,increased,increased
24.06.2026,low,moderate,increased,low,low,increased,moderate
25.06.2026,increased,moderate,increased,increased,increased,increased,moderate
26.06.2026,moderate,moderate,increased,moderate,increased,moderate,heavy
27.06.2026,moderate,heavy,moderate,heavy,increased,moderate,heavy
28.06.2026,heavy,moderate,low,heavy,heavy,heavy,heavy
29.06.2026,low,heavy,moderate,low,low,increased,increased
30.06.2026,low,increased,increased,low,low,low,increased
01.07.2026,increased,moderate,moderate,increased,low,increased,increased
02.07.2026,increased,moderate,moderate,increased,increased,increased,moderate
03.07.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
04.07.2026,heavy,heavy,moderate,heavy,moderate,moderate,moderate
05.07.2026,heavy,moderate,low,heavy,heavy,heavy,moderate
06.07.2026,increased,heavy,heavy,increased,low,increased,moderate
07.07.2026,increased,moderate,heavy,increased,low,increased,increased
08.07.2026,increased,moderate,heavy,increased,low,increased,moderate
09.07.2026,moderate,moderate,heavy,moderate,increased,increased,moderate
10.07.2026,heavy,heavy,heavy,moderate,moderate,heavy,heavy
11.07.2026,heavy,heavy,heavy,heavy,moderate,heavy,heavy
12.07.2026,heavy,moderate,low,heavy,heavy,heavy,heavy
13.07.2026,moderate,heavy,heavy,increased,low,increased,moderate
14.07.2026,increased,moderate,heavy,increased,low,increased,moderate
15.07.2026,moderate,moderate,heavy,increased,increased,increased,moderate
16.07.2026,moderate,moderate,heavy,moderate,increased,moderate,moderate
17.07.2026,heavy,heavy,heavy,moderate,moderate,heavy,heavy
18.07.2026,heavy,extreme,heavy,heavy,moderate,heavy,heavy
19.07.2026,heavy,moderate,low,heavy,heavy,heavy,heavy
20.07.2026,moderate,heavy,heavy,increased,low,increased,moderate
21.07.2026,increased,moderate,heavy,increased,low,increased,moderate
22.07.2026,moderate,heavy,heavy,moderate,increased,increased,moderate
23.07.2026,moderate,heavy,heavy,moderate,increased,moderate,heavy
24.07.2026,heavy,heavy,heavy,moderate,moderate,heavy,heavy
25.07.2026,heavy,extreme,extreme,heavy,moderate,heavy,heavy
26.07.2026,heavy,heavy,increased,heavy,heavy,heavy,heavy
27.07.2026,moderate,heavy,heavy,increased,increased,moderate,moderate
28.07.2026,moderate,moderate,heavy,increased,increased,moderate,moderate
29.07.2026,moderate,moderate,heavy,moderate,increased,moderate,moderate
30.07.2026,moderate,moderate,heavy,moderate,moderate,moderate,heavy
31.07.2026,heavy,heavy,heavy,moderate,moderate,heavy,extreme
01.08.2026,heavy,extreme,heavy,heavy,heavy,heavy,extreme
02.08.2026,extreme,heavy,increased,heavy,heavy,heavy,heavy
03.08.2026,moderate,heavy,moderate,moderate,increased,moderate,moderate
04.08.2026,moderate,moderate,moderate,increased,increased,moderate,moderate
05.08.2026,moderate,moderate,moderate,moderate,increased,moderate,moderate
06.08.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
07.08.2026,heavy,heavy,moderate,heavy,heavy,heavy,extreme
08.08.2026,extreme,extreme,heavy,heavy,heavy,heavy,extreme
09.08.2026,extreme,heavy,increased,heavy,heavy,heavy,heavy
10.08.2026,moderate,heavy,moderate,moderate,increased,moderate,moderate
11.08.2026,moderate,moderate,moderate,increased,increased,moderate,moderate
12.08.2026,moderate,moderate,moderate,moderate,increased,moderate,moderate
13.08.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
14.08.2026,heavy,heavy,moderate,heavy,heavy,heavy,extreme
15.08.2026,extreme,extreme,heavy,heavy,heavy,heavy,extreme
16.08.2026,extreme,heavy,increased,heavy,heavy,heavy,extreme
17.08.2026,moderate,heavy,moderate,increased,increased,moderate,moderate
18.08.2026,moderate,moderate,moderate,increased,increased,moderate,moderate
19.08.2026,moderate,moderate,moderate,moderate,increased,moderate,moderate
20.08.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
21.08.2026,heavy,heavy,moderate,moderate,heavy,heavy,extreme
22.08.2026,heavy,extreme,heavy,heavy,heavy,heavy,extreme
23.08.2026,extreme,heavy,low,heavy,heavy,heavy,heavy
24.08.2026,moderate,heavy,moderate,increased,increased,moderate,moderate
25.08.2026,moderate,moderate,moderate,increased,increased,moderate,moderate
26.08.2026,moderate,moderate,moderate,moderate,increased,moderate,moderate
27.08.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
28.08.2026,heavy,heavy,moderate,heavy,heavy,heavy,extreme
29.08.2026,heavy,extreme,heavy,heavy,heavy,heavy,extreme
30.08.2026,extreme,heavy,low,heavy,heavy,heavy,extreme
31.08.2026,moderate,heavy,moderate,moderate,increased,moderate,moderate
01.09.2026,moderate,increased,moderate,increased,increased,moderate,moderate
02.09.2026,moderate,moderate,moderate,increased,moderate,moderate,moderate
03.09.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
04.09.2026,heavy,heavy,moderate,moderate,heavy,heavy,extreme
05.09.2026,heavy,extreme,heavy,heavy,heavy,heavy,heavy
06.09.2026,heavy,heavy,low,heavy,heavy,heavy,heavy
07.09.2026,moderate,heavy,moderate,increased,increased,moderate,moderate
08.09.2026,moderate,heavy,moderate,increased,increased,increased,moderate
09.09.2026,moderate,moderate,moderate,increased,increased,increased,moderate
