day,traffic,1 part,2 part,3part,4part,5 part,6 part
20.06.2026,extreme,extreme,extreme,heavy,heavy,heavy,increased
21.06.2026,extreme,low,low,low,low,extreme,increased
22.06.2026,low,low,heavy,low,extreme,low,extreme
23.06.2026,low,heavy,low,increased,low,extreme,heavy
24.06.2026,low,extreme,low,heavy,extreme,extreme,low
25.06.2026,low,low,increased,heavy,low,low,low
26.06.2026,low,extreme,heavy,extreme,increased,low,low
27.06.2026,heavy,increased,heavy,heavy,low,increased,low
28.06.2026,heavy,heavy,heavy,heavy,low,extreme,low
29.06.2026,extreme,increased,extreme,extreme,low,extreme,increased
30.06.2026,low,extreme,heavy,low,extreme,low,low
01.07.2026,heavy,increased,low,extreme,extreme,increased,low
02.07.2026,increased,extreme,low,low,increased,extreme,increased
03.07.2026,extreme,heavy,extreme,heavy,low,extreme,heavy
04.07.2026,increased,increased,increased,low,extreme,extreme,low
05.07.2026,increased,increased,extreme,extreme,heavy,heavy,heavy
06.07.2026,extreme,heavy,low,increased,heavy,increased,increased
07.07.2026,extreme,extreme,extreme,increased,heavy,heavy,increased
08.07.2026,extreme,low,heavy,extreme,extreme,extreme,increased
09.07.2026,low,heavy,low,increased,extreme,heavy,increased
10.07.2026,heavy,low,increased,increased,heavy,low,heavy
11.07.2026,heavy,extreme,heavy,heavy,low,low,heavy
12.07.2026,heavy,heavy,heavy,low,low,extreme,low
13.07.2026,increased,low,low,low,low,increased,increased
14.07.2026,increased,increased,increased,low,heavy,increased,increased
15.07.2026,heavy,increased,heavy,increased,low,increased,low
16.07.2026,extreme,extreme,low,low,low,increased,heavy
17.07.2026,low,increased,low,low,low,extreme,low
18.07.2026,low,increased,extreme,heavy,extreme,increased,extreme
19.07.2026,increased,low,heavy,low,increased,heavy,low
20.07.2026,increased,heavy,low,low,low,increased,low
21.07.2026,increased,low,heavy,extreme,heavy,low,increased
22.07.2026,increased,increased,increased,low,heavy,increased,low
23.07.2026,heavy,low,heavy,increased,increased,low,extreme
24.07.2026,low,increased,low,heavy,increased,low,extreme
25.07.2026,extreme,increased,heavy,low,heavy,increased,low
26.07.2026,increased,low,heavy,low,extreme,increased,increased
27.07.2026,heavy,low,increased,heavy,increased,heavy,increased
28.07.2026,extreme,extreme,increased,low,extreme,heavy,extreme
29.07.2026,low,low,low,heavy,heavy,increased,low
30.07.2026,extreme,heavy,extreme,low,heavy,heavy,low
31.07.2026,increased,heavy,increased,extreme,heavy,extreme,heavy
01.08.2026,extreme,increased,extreme,increased,increased,heavy,heavy
02.08.2026,extreme,extreme,low,low,heavy,heavy,extreme
03.08.2026,low,increased,heavy,low,extreme,extreme,heavy
04.08.2026,increased,heavy,heavy,heavy,extreme,extreme,extreme
05.08.2026,extreme,heavy,increased,increased,extreme,increased,extreme
06.08.2026,heavy,heavy,low,extreme,heavy,increased,low
07.08.2026,increased,low,extreme,heavy,heavy,increased,heavy
08.08.2026,heavy,low,extreme,increased,low,extreme,increased
09.08.2026,extreme,heavy,increased,increased,extreme,heavy,heavy
10.08.2026,heavy,extreme,low,increased,low,low,heavy
11.08.2026,extreme,heavy,increased,low,low,increased,extreme
12.08.2026,extreme,heavy,low,heavy,extreme,increased,heavy
13.08.2026,extreme,low,extreme,low,extreme,heavy,low
14.08.2026,heavy,heavy,extreme,increased,extreme,low,heavy
15.08.2026,low,increased,heavy,heavy,low,extreme,heavy
16.08.2026,increased,extreme,extreme,increased,low,increased,heavy
17.08.2026,low,low,extreme,increased,low,extreme,extreme
18.08.2026,low,increased,increased,heavy,extreme,extreme,heavy
19.08.2026,low,low,heavy,extreme,extreme,increased,heavy
20.08.2026,increased,increased,low,heavy,low,heavy,heavy
21.08.2026,heavy,low,low,extreme,low,low,increased
22.08.2026,low,extreme,low,increased,extreme,heavy,extreme
23.08.2026,low,increased,extreme,increased,extreme,heavy,low
24.08.2026,low,low,low,increased,extreme,heavy,increased
25.08.2026,increased,extreme,extreme,increased,increased,low,extreme
26.08.2026,increased,extreme,heavy,low,extreme,increased,extreme
27.08.2026,low,increased,extreme,extreme,heavy,low,increased
28.08.2026,heavy,heavy,extreme,extreme,low,low,heavy
29.08.2026,low,extreme,extreme,extreme,low,low,heavy
30.08.2026,increased,increased,increased,increased,increased,increased,low
31.08.2026,heavy,extreme,low,low,low,low,low
01.09.2026,extreme,heavy,heavy,extreme,extreme,heavy,increased
02.09.2026,increased,increased,low,increased,increased,low,extreme
03.09.2026,low,increased,extreme,low,increased,increased,extreme
04.09.2026,increased,heavy,heavy,increased,extreme,low,low
05.09.2026,extreme,increased,heavy,heavy,low,increased,low
06.09.2026,low,extreme,low,low,increased,increased,extreme
07.09.2026,extreme,increased,heavy,increased,extreme,heavy,low
08.09.2026,low,heavy,increased,heavy,extreme,heavy,extreme
09.09.2026,low,increased,heavy,extreme,extreme,heavy,low
10.09.2026,extreme,heavy,heavy,increased,heavy,increased,low
11.09.2026,increased,heavy,heavy,extreme,heavy,low,heavy
12.09.2026,heavy,extreme,heavy,low,extreme,extreme,extreme
13.09.2026,low,low,extreme,extreme,increased,low,increased
14.09.2026,low,increased,extreme,increased,extreme,extreme,increased
15.09.2026,low,heavy,extreme,extreme,heavy,low,low
16.09.2026,increased,extreme,increased,low,low,heavy,increased
17.09.2026,increased,heavy,increased,extreme,heavy,increased,extreme
18.09.2026,heavy,increased,low,low,extreme,low,heavy
19.09.2026,low,increased,extreme,extreme,increased,heavy,low
20.09.2026,heavy,heavy,extreme,extreme,increased,increased,increased
21.09.2026,heavy,increased,increased,heavy,low,extreme,low
22.09.2026,extreme,heavy,extreme,extreme,heavy,increased,increased
23.09.2026,increased,extreme,heavy,low,extreme,low,increased
24.09.2026,heavy,increased,heavy,low,heavy,low,heavy
25.09.2026,extreme,heavy,increased,increased,increased,extreme,heavy
26.09.2026,low,extreme,extreme,heavy,increased,low,increased
